run_name,learning_rate,batch_size,epochs,dropout,test_loss,test_accuracy,test_precision,test_recall,test_f1
cnn-baseline,0.001,32,10,0.5,0.4369,0.8017,0.8604,0.7200,0.7840
lr-0005,0.0005,32,10,0.5,0.4816,0.7713,0.8125,0.7051,0.7550
lr-0002,0.002,32,10,0.5,0.3802,0.8371,0.8461,0.8240,0.8349
dropout-03,0.001,32,10,0.3,0.4092,0.8144,0.8367,0.7813,0.8081
dropout-07,0.001,32,10,0.7,0.4616,0.7846,0.8642,0.6752,0.7581
lr-0002-dropout-03,0.002,32,10,0.3,0.4092,0.8144,0.8367,0.7813,0.8081
bs-16,0.001,16,10,0.5,0.4267,0.8136,0.8479,0.7643,0.8039
bs-64,0.001,64,10,0.5,0.4608,0.7830,0.7664,0.8139,0.7894
cnn-best-candidate,0.002,32,10,0.5,0.3802,0.8371,0.8461,0.8240,0.8349
